"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2020","286.00","286.90","289.00","284.15","342.64K","-0.17%"
"06/24/2020","286.50","285.60","289.49","283.11","487.46K","-0.17%"
"06/23/2020","287.00","285.98","287.00","282.30","300.71K","0.88%"
"06/22/2020","284.49","278.00","286.45","275.50","391.73K","1.97%"
"06/19/2020","279.00","278.06","280.50","276.00","310.53K","0.07%"
"06/18/2020","278.80","279.00","281.00","276.50","457.51K","-0.08%"
"06/17/2020","279.01","284.00","287.00","278.25","304.77K","-1.79%"
"06/16/2020","284.10","282.33","284.98","279.25","312.50K","0.89%"
"06/15/2020","281.60","286.00","286.90","281.25","349.64K","-2.22%"
"06/12/2020","288.00","289.00","290.95","286.99","365.54K","-0.76%"
"06/11/2020","290.20","290.00","293.88","288.05","894.49K","0.59%"
"06/10/2020","288.50","287.02","290.00","285.50","530.87K","0.28%"
"06/09/2020","287.70","289.50","289.50","287.49","450.51K","-0.28%"
"06/08/2020","288.52","290.51","291.89","288.50","677.61K","-1.19%"
"06/05/2020","292.00","288.00","294.25","287.03","542.35K","1.42%"
"06/04/2020","287.90","288.30","290.00","287.00","294.61K","-0.67%"
"06/03/2020","289.85","294.00","294.00","287.25","573.47K","-0.43%"
"06/02/2020","291.10","290.40","297.39","290.40","853.79K","0.73%"
"06/01/2020","289.00","291.66","292.00","285.50","612.49K","-0.85%"
"05/29/2020","291.49","296.00","298.40","290.00","812.64K","-1.52%"
"05/28/2020","296.00","299.00","299.00","295.25","290.27K","-1.66%"
"05/21/2020","301.00","300.00","301.00","296.50","121.11K","1.01%"
"05/20/2020","298.00","302.20","302.20","296.80","263.61K","-1.32%"
"05/19/2020","301.98","306.48","306.48","301.00","257.70K","-0.66%"
"05/18/2020","303.99","308.50","308.50","301.20","310.78K","-0.98%"
"05/15/2020","307.00","305.97","307.00","304.00","197.94K","0.56%"
"05/14/2020","305.30","311.00","316.00","305.00","837.37K","-0.02%"
"05/13/2020","305.35","306.84","307.07","304.50","190.59K","-1.02%"
"05/12/2020","308.50","304.01","308.57","304.01","434.14K","1.81%"
"05/11/2020","303.01","305.00","305.00","300.15","143.10K","-0.33%"
"05/08/2020","304.00","306.25","307.17","303.25","271.91K","-0.65%"
"05/07/2020","306.00","307.05","311.00","304.51","538.69K","-0.16%"
"05/06/2020","306.50","307.01","309.00","305.75","284.96K","-0.45%"
"05/05/2020","307.90","308.50","310.00","304.50","1.01M","1.12%"
"05/04/2020","304.50","304.00","307.00","301.00","356.19K","-0.78%"
"04/30/2020","306.90","305.00","309.99","303.01","921.79K","1.62%"
"04/29/2020","302.00","301.25","310.85","300.75","731.83K","0.17%"
"04/28/2020","301.50","296.00","302.00","295.00","383.71K","1.21%"
"04/27/2020","297.90","302.50","302.50","292.00","307.18K","-0.78%"
"04/24/2020","300.23","305.00","306.00","299.25","231.39K","-0.47%"
"04/23/2020","301.64","301.00","306.00","299.00","818.68K","2.20%"
"04/22/2020","295.16","297.00","301.90","290.11","474.25K","-1.04%"
"04/21/2020","298.26","311.00","313.99","295.00","1.25M","-5.83%"
"04/20/2020","316.73","316.73","316.73","307.00","2.42M","7.50%"
"04/17/2020","294.64","294.64","294.64","294.00","504.13K","7.50%"
"04/16/2020","274.09","274.00","279.90","272.07","668.85K","0.25%"
"04/15/2020","273.41","273.25","282.99","272.00","609.07K","0.29%"
"04/14/2020","272.62","271.99","276.99","271.00","186.41K","0.59%"
"04/13/2020","271.03","275.50","278.50","270.00","291.05K","-2.94%"
"04/10/2020","279.24","275.00","282.00","270.01","402.11K","1.71%"
"04/09/2020","274.55","270.90","277.90","270.90","649.65K","1.83%"
"04/08/2020","269.61","271.00","271.60","268.00","200.29K","-0.96%"
"04/07/2020","272.21","267.99","274.99","267.99","1.11M","1.17%"
"04/06/2020","269.07","275.10","277.00","267.01","611.11K","-2.96%"
"04/03/2020","277.28","280.00","283.00","275.00","1.39M","-0.48%"
"04/02/2020","278.62","270.00","284.45","267.10","1.42M","3.10%"
"04/01/2020","270.25","269.00","273.50","262.00","529.92K","1.26%"
"03/31/2020","266.90","253.50","269.00","253.00","604.89K","5.04%"
"03/30/2020","254.09","251.00","262.47","248.10","518.10K","-1.91%"
"03/27/2020","259.04","247.50","263.00","241.00","665.55K","5.81%"
"03/26/2020","244.81","234.00","255.47","234.00","1.12M","3.01%"
"03/25/2020","237.65","261.00","262.99","237.05","2.59M","-7.26%"
"03/24/2020","256.26","256.26","256.27","256.26","554.53K","-7.50%"
"03/20/2020","277.03","271.40","278.70","260.15","1.01M","5.48%"
"03/19/2020","262.64","233.00","266.00","232.28","2.62M","4.59%"
"03/18/2020","251.11","269.50","270.50","251.11","1.03M","-7.50%"
"03/17/2020","271.46","271.00","283.99","267.25","1.26M","0.68%"
"03/16/2020","269.62","281.00","284.00","267.90","1.47M","-6.91%"
"03/13/2020","289.62","276.00","292.40","266.00","2.69M","1.26%"
"03/12/2020","286.02","299.00","301.00","284.00","1.76M","-6.19%"
"03/11/2020","304.90","308.99","311.49","303.00","618.30K","-0.84%"
"03/10/2020","307.47","308.00","312.00","301.50","1.23M","2.15%"
"03/09/2020","301.00","296.01","308.50","292.53","2.31M","-4.30%"
"03/06/2020","314.54","323.01","325.00","314.00","598.50K","-4.30%"
"03/05/2020","328.67","320.00","334.00","320.00","1.28M","3.41%"
"03/04/2020","317.84","321.50","327.00","317.00","590.70K","-2.05%"
"03/03/2020","324.50","335.00","335.49","321.30","719.90K","-1.74%"
"03/02/2020","330.26","314.00","331.99","313.80","1.06M","6.39%"
"02/28/2020","310.41","304.00","312.00","300.00","846.50K","1.86%"
"02/27/2020","304.73","295.10","306.90","292.00","1.62M","0.74%"
"02/26/2020","302.49","328.10","328.10","299.90","3.01M","-2.60%"
"02/25/2020","310.56","315.10","318.90","308.10","713.00K","-2.22%"
"02/24/2020","317.62","321.00","321.00","315.05","752.50K","-2.35%"
"02/21/2020","325.26","335.00","335.00","319.76","1.07M","-2.82%"
"02/20/2020","334.71","339.00","339.00","334.00","140.50K","-0.51%"
"02/19/2020","336.44","336.85","339.93","334.01","226.30K","0.25%"
"02/18/2020","335.61","333.00","339.00","333.00","255.20K","0.32%"
"02/17/2020","334.54","336.50","336.50","330.00","128.50K","-0.16%"
"02/14/2020","335.09","340.00","340.00","334.05","184.00K","-0.77%"
"02/13/2020","337.68","337.10","341.00","335.51","264.40K","-0.09%"
"02/12/2020","337.99","329.00","339.50","329.00","560.90K","2.72%"
"02/11/2020","329.05","330.00","330.00","323.01","488.70K","0.81%"
"02/10/2020","326.41","334.00","334.00","324.52","766.60K","-2.31%"
"02/07/2020","334.14","336.99","341.00","331.00","462.00K","-0.01%"
"02/06/2020","334.16","337.20","337.20","332.02","175.50K","-0.29%"
"02/04/2020","335.13","328.50","336.50","328.00","762.10K","2.06%"
"02/03/2020","328.38","338.00","339.50","323.00","1.44M","-3.83%"
"01/31/2020","341.47","344.00","344.50","339.25","1.11M","-0.02%"
"01/30/2020","341.55","338.77","342.45","335.25","441.90K","1.09%"
"01/29/2020","337.87","339.05","343.24","336.50","643.60K","-1.05%"
"01/28/2020","341.46","344.99","344.99","340.10","171.30K","-0.75%"
"01/27/2020","344.04","344.80","345.00","338.50","406.30K","1.21%"
"01/24/2020","339.93","336.56","342.85","336.56","494.00K","0.29%"
"01/23/2020","338.94","342.70","346.00","336.50","749.50K","-0.22%"
"01/22/2020","339.69","338.00","344.00","335.35","913.10K","0.75%"
"01/21/2020","337.17","350.50","350.50","335.10","1.34M","-3.60%"
"01/20/2020","349.77","363.45","363.45","348.50","666.10K","-3.35%"
"01/17/2020","361.89","360.00","363.00","358.00","344.00K","0.52%"
"01/16/2020","360.02","362.50","363.95","358.00","205.80K","-0.48%"
"01/15/2020","361.77","362.90","363.60","360.00","329.50K","-0.31%"
"01/14/2020","362.89","357.00","363.89","357.00","874.80K","1.80%"
"01/13/2020","356.46","359.90","361.00","355.40","522.70K","-0.94%"
"01/10/2020","359.85","355.05","367.25","354.25","2.23M","1.60%"
"01/09/2020","354.19","354.99","358.00","352.02","2.65M","1.95%"
"01/08/2020","347.41","344.00","350.00","343.00","912.10K","-0.07%"
"01/07/2020","347.65","347.00","350.99","342.15","1.11M","1.72%"
"01/06/2020","341.76","352.06","353.99","340.07","2.08M","-3.86%"
"01/03/2020","355.48","368.90","368.90","352.50","1.60M","-2.87%"
"01/02/2020","366.00","361.73","371.99","357.25","2.61M","3.31%"
"01/01/2020","354.28","345.30","362.48","345.01","231.90K","2.62%"
"12/31/2019","345.25","353.00","353.00","341.10","678.50K","-1.79%"
"12/30/2019","351.54","346.70","354.74","344.99","1.10M","3.08%"
"12/27/2019","341.05","332.40","343.00","330.01","2.10M","2.85%"
"12/26/2019","331.59","329.01","332.90","329.00","260.70K","0.95%"
"12/24/2019","328.46","326.01","330.35","322.00","250.10K","0.58%"
"12/23/2019","326.57","330.02","330.98","325.51","292.70K","-1.34%"
"12/20/2019","331.02","329.14","332.34","327.10","515.30K","0.57%"
"12/19/2019","329.14","334.99","336.90","320.20","768.00K","-1.92%"
"12/18/2019","335.59","332.56","338.00","330.00","844.20K","0.13%"
"12/17/2019","335.17","332.99","336.00","327.00","1.04M","1.53%"
"12/16/2019","330.11","327.25","331.40","326.50","500.40K","1.06%"
"12/13/2019","326.66","327.75","331.98","326.00","629.70K","-0.33%"
"12/12/2019","327.73","327.00","328.97","323.00","456.10K","0.54%"
"12/11/2019","325.97","328.00","329.44","322.90","268.60K","-0.53%"
"12/10/2019","327.70","326.00","329.00","325.02","223.80K","0.42%"
"12/09/2019","326.34","324.00","330.00","324.00","856.00K","1.02%"
"12/06/2019","323.04","321.11","326.50","321.00","702.30K","0.62%"
"12/05/2019","321.06","322.50","327.00","320.00","1.37M","-0.21%"
"12/04/2019","321.75","322.00","323.99","316.50","1.64M","-0.81%"
"12/03/2019","324.37","336.40","336.40","322.80","1.15M","-4.72%"
"12/02/2019","340.44","338.00","343.01","338.00","1.01M","0.73%"
"11/29/2019","337.97","338.99","342.00","337.00","575.00K","0.07%"
"11/28/2019","337.74","335.80","342.00","335.80","974.30K","0.57%"
"11/27/2019","335.84","338.90","341.00","334.01","443.30K","-0.78%"
"11/26/2019","338.48","332.45","339.99","329.00","1.50M","1.96%"
"11/25/2019","331.98","329.15","338.00","329.15","371.70K","0.13%"
"11/22/2019","331.56","323.01","333.80","323.00","302.00K","2.49%"
"11/21/2019","323.50","332.00","334.00","322.00","522.30K","-2.52%"
"11/20/2019","331.85","338.82","339.01","330.25","774.40K","-2.05%"
"11/19/2019","338.81","342.00","345.98","338.25","590.60K","-1.11%"
"11/18/2019","342.61","331.40","344.38","329.50","2.45M","4.33%"
"11/15/2019","328.39","327.50","329.00","326.00","987.30K","0.58%"
"11/14/2019","326.49","327.90","328.00","323.00","266.10K","-0.10%"
"11/13/2019","326.82","324.70","328.95","320.00","1.23M","1.49%"
"11/12/2019","322.03","324.85","324.85","320.10","1.03M","-0.55%"
"11/11/2019","323.82","320.00","326.99","320.00","1.37M","1.08%"
"11/08/2019","320.35","318.00","322.84","318.00","2.24M","1.20%"
"11/07/2019","316.54","313.00","319.98","311.10","2.50M","1.29%"
"11/06/2019","312.50","313.00","315.99","310.10","1.06M","0.38%"
"11/05/2019","311.33","308.99","314.00","308.50","1.74M","1.49%"
"11/04/2019","306.76","299.00","308.75","298.25","1.28M","2.79%"
"11/01/2019","298.44","295.06","301.00","295.05","1.50M","0.79%"
"10/31/2019","296.09","288.50","297.30","288.50","1.24M","2.72%"
"10/30/2019","288.26","292.00","293.40","287.01","238.20K","-1.08%"
"10/29/2019","291.41","295.50","295.99","290.61","175.20K","-0.62%"
"10/28/2019","293.24","291.16","298.00","291.00","319.80K","0.01%"
"10/25/2019","293.21","293.23","296.50","292.30","307.40K","-0.01%"
"10/24/2019","293.23","292.00","298.90","288.65","1.53M","1.17%"
"10/23/2019","289.85","284.01","292.00","284.01","884.10K","2.10%"
"10/22/2019","283.89","285.00","287.00","282.50","426.40K","-0.52%"
"10/21/2019","285.38","286.90","287.90","282.05","596.50K","-0.81%"
"10/18/2019","287.72","279.99","289.95","278.00","1.95M","2.87%"
"10/17/2019","279.70","280.00","280.00","278.00","240.90K","-0.22%"
"10/16/2019","280.31","277.99","281.70","276.02","915.30K","0.96%"
"10/15/2019","277.64","279.89","281.50","277.01","321.10K","-0.56%"
"10/14/2019","279.20","282.00","284.95","278.10","506.60K","-0.83%"
"10/11/2019","281.54","278.74","283.84","276.97","1.13M","1.50%"
"10/10/2019","277.39","274.14","278.50","273.00","509.70K","1.19%"
"10/09/2019","274.14","273.06","274.98","271.50","268.80K","-0.07%"
"10/08/2019","274.32","277.89","277.89","272.25","820.30K","-1.06%"
"10/07/2019","277.27","275.00","279.75","272.02","1.14M","1.16%"
"10/04/2019","274.08","271.90","275.00","270.00","964.90K","0.85%"
"10/03/2019","271.76","269.95","273.80","267.00","1.28M","1.27%"
